100_001|Главная|Hauptseite
100_002|В учебном курсе|In diesem Kurs
100_003|Задачи|Aufgaben
100_004|Набор задач различной степени сложности, решение которых поможет вам усвоить методы ОТСМ-ТРИЗ.|Eine Sammlung von Aufgaben unterschiedlicher Schwierigkeit, deren Lösung Sie beim Erlernen der OTSM-TRIZ-Methoden unterstützt.
100_005|Разборы задач|Beispiel-Aufgaben
100_006|Иллюстрация процесса решения задач на примерах. Вы можете шаг за шагом проследить весь ход решения задачи от формулирования условие задачи до получения идеи решения.|Veranschaulichung des Problemlöseprozesses anhand von Beispielen. Sie können den gesamten Verlauf der Problemlösung von der Problemformulierung bis zur Lösungsidee schrittweise verfolgen.
100_007|Теория процесса решения|Theorie des Lösungsprozesses
100_008|Описание как решать задачи в соответствии с алгоритмом АИПС-2015.|Beschreibung, wie eine Aufgabe gemäß dem AIPS-2015-Algorithmus gelöst wird.
100_009|Дополнительно|Zusätzlich
100_010|Дополнительные материалы для углубления знаний по ОТСМ-ТРИЗ.|Zusätzliche Materialien zur Vertiefung der Kenntnisse über OTSM-TRIZ.
100_011|Общение с преподавателем|Kommunikation mit dem Tutor
100_012|Преподаватель корректирует решение задач студентами. Персональное общение с преподавателем в чате.|Der Tutor korrigiert die Problemlösung der Studenten. Man kann persönlich mit dem Tutor chatten.
100_013|Почему именно ТРИЗ-тренер|Warum gerade der TRIZ-Trainer
100_014|Решение нестандартных, творческих задач позволяет найти выход из самой сложной ситуации. Это справедливо как для произв...|Durch das Lösen nicht standardmäßiger, kreativer Aufgaben findet man einen Weg aus der schwierigsten Situation. Dies gilt auch für den  ...
100_015|Как учиться с ТРИЗ-тренером|Wie mit dem TRIZ-Trainer lernen
100_016|Онлайновая дистанционная система обучения ТРИЗ-тренер предназначена для первоначального обучения решению изобретательских задач. В результате...|Das Online-Fernstudien-System TRIZ-Trainer ist für die Erstausbildung zur Lösung erfinderischer Probleme vorgesehen. Als Ergebnis ...
100_017|Преподаватели|Tutoren
100_018|Помогать работать с ТРИЗ-тренером будут преподаватели, имеющие богатые навыки решения изобретательских задач и обучения специалистов компаний. С их поддержкой...|Zur Unterstützung Ihrer Arbeit mit dem TRIZ-Trainer sind Titoren mit reichen Erfahrungen im Lösen erfinderischer Probleme sowie der Ausbildung von Unternehmensspezialisten eingesetzt. Mit ihrer Unterstützung ...
100_019|Сертификация|Zertifizierung
100_020|По окончании курса можно сдать экзамен и получить сертификат, подтверждающий ваши приобретённые навыки в решении изобрет...|Am Ende des Kurses kann man eine Prüfung ablegen und ein Zertifikat erhalten, das die erworbenen Fähigkeiten beim Lösen von Erfindungsaufgaben bestätigt ...
